 lr: 2.500000e-05, epoch: [0/120000], all_loss: [0.6176], m_loss:[0.5038], s_loss:[0.1137] 
 lr: 2.500000e-05, epoch: [0/120000], all_loss: [0.6874], m_loss:[0.5582], s_loss:[0.1291] 
 iCoseg Cosal2015 f: [0.2043], m: [0.3577], f: [0.2308], m: [0.5049]
 lr: 2.500000e-05, epoch: [0/120000], all_loss: [0.0609], m_loss:[0.0425], s_loss:[0.0184] 
 iCoseg Cosal2015 f: [0.8414], m: [0.0808], f: [0.8375], m: [0.0924]
 lr: 2.500000e-05, epoch: [0/120000], all_loss: [0.0267], m_loss:[0.0199], s_loss:[0.0067] 
 iCoseg Cosal2015 f: [0.8405], m: [0.0818], f: [0.8358], m: [0.0942]
 lr: 2.500000e-05, epoch: [100/120000], all_loss: [0.1215], m_loss:[0.0774], s_loss:[0.0441] 
 lr: 2.500000e-05, epoch: [200/120000], all_loss: [0.0329], m_loss:[0.0179], s_loss:[0.0150] 
 lr: 2.500000e-05, epoch: [300/120000], all_loss: [0.0513], m_loss:[0.0313], s_loss:[0.0200] 
 lr: 2.500000e-05, epoch: [400/120000], all_loss: [0.0552], m_loss:[0.0404], s_loss:[0.0148] 
 lr: 2.500000e-05, epoch: [500/120000], all_loss: [0.0375], m_loss:[0.0285], s_loss:[0.0091] 
 lr: 2.500000e-05, epoch: [600/120000], all_loss: [0.0579], m_loss:[0.0421], s_loss:[0.0157] 
 lr: 2.500000e-05, epoch: [700/120000], all_loss: [0.0481], m_loss:[0.0305], s_loss:[0.0176] 
 lr: 2.500000e-05, epoch: [800/120000], all_loss: [0.0520], m_loss:[0.0369], s_loss:[0.0151] 
 lr: 2.500000e-05, epoch: [900/120000], all_loss: [0.0608], m_loss:[0.0406], s_loss:[0.0202] 
 lr: 2.500000e-05, epoch: [0/150000], all_loss: [0.0500], m_loss:[0.0321], s_loss:[0.0179] 
 iCoseg Cosal2015 f: [0.8418], m: [0.0800], f: [0.8386], m: [0.0908]
 lr: 2.500000e-05, epoch: [100/150000], all_loss: [0.0259], m_loss:[0.0171], s_loss:[0.0088] 
 lr: 2.500000e-05, epoch: [200/150000], all_loss: [0.0520], m_loss:[0.0317], s_loss:[0.0203] 
 lr: 2.500000e-05, epoch: [300/150000], all_loss: [0.1470], m_loss:[0.0901], s_loss:[0.0569] 
 lr: 2.500000e-05, epoch: [400/150000], all_loss: [0.0382], m_loss:[0.0252], s_loss:[0.0130] 
 lr: 2.500000e-05, epoch: [500/150000], all_loss: [0.0788], m_loss:[0.0537], s_loss:[0.0250] 
 lr: 2.500000e-05, epoch: [600/150000], all_loss: [0.0669], m_loss:[0.0451], s_loss:[0.0218] 
 lr: 2.500000e-05, epoch: [700/150000], all_loss: [0.1391], m_loss:[0.0863], s_loss:[0.0529] 
 lr: 2.500000e-05, epoch: [800/150000], all_loss: [0.0371], m_loss:[0.0267], s_loss:[0.0103] 
 lr: 2.500000e-05, epoch: [900/150000], all_loss: [0.1475], m_loss:[0.1009], s_loss:[0.0466] 
 lr: 2.500000e-05, epoch: [1000/150000], all_loss: [0.0615], m_loss:[0.0425], s_loss:[0.0190] 
 lr: 2.500000e-05, epoch: [1100/150000], all_loss: [0.0388], m_loss:[0.0241], s_loss:[0.0148] 
 lr: 2.500000e-05, epoch: [1200/150000], all_loss: [0.0712], m_loss:[0.0464], s_loss:[0.0248] 
 lr: 2.500000e-05, epoch: [1300/150000], all_loss: [0.0561], m_loss:[0.0325], s_loss:[0.0237] 
 lr: 2.500000e-05, epoch: [1400/150000], all_loss: [0.0600], m_loss:[0.0388], s_loss:[0.0212] 
 lr: 2.500000e-05, epoch: [1500/150000], all_loss: [0.3331], m_loss:[0.2330], s_loss:[0.1001] 
 lr: 2.500000e-05, epoch: [1600/150000], all_loss: [0.0411], m_loss:[0.0268], s_loss:[0.0143] 
 lr: 2.500000e-05, epoch: [1700/150000], all_loss: [0.0233], m_loss:[0.0139], s_loss:[0.0093] 
